АВС/ DEF;От;До;Емкость;Оператор;Регион;ИНН
901;2128000;2135999;8000;ООО "Т2 Мобайл";Архангельская обл.;7743895280
901;2136000;2145999;10000;ООО "Т2 Мобайл";Белгородская обл.;7743895280
901;2146000;2153999;8000;ООО "Т2 Мобайл";Владимирская обл.;7743895280
901;2154000;2163999;10000;ООО "Т2 Мобайл";Волгоградская обл.;7743895280
901;2164000;2173999;10000;ООО "Т2 Мобайл";Воронежская обл.;7743895280
901;2174000;2177999;4000;ООО "Т2 Мобайл";Ивановская обл.;7743895280
901;2178000;2183999;6000;ООО "Т2 Мобайл";Костромская обл.;7743895280
901;2184000;2189999;6000;ООО "Т2 Мобайл";Мурманская обл.;7743895280
901;2190000;2199999;10000;ООО "Т2 Мобайл";Иркутская обл.;7743895280
901;2200000;2209999;10000;ООО "Т2 Мобайл";Свердловская обл.;7743895280
901;2210000;2219999;10000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;2220000;2229999;10000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;2230000;2237999;8000;ООО "Т2 Мобайл";Калужская обл.;7743895280
901;2238000;2241999;4000;ООО "Т2 Мобайл";Камчатский край;7743895280
901;2242000;2249999;8000;ООО "Т2 Мобайл";Кировская обл.;7743895280
901;2250000;2253999;4000;ООО "Т2 Мобайл";Курганская обл.;7743895280
901;2254000;2263999;10000;ООО "Т2 Мобайл";Курская обл.;7743895280
901;2264000;2273999;10000;ООО "Т2 Мобайл";Липецкая обл.;7743895280
901;2274000;2283999;10000;ООО "Т2 Мобайл";Нижегородская обл.;7743895280
901;2284000;2289999;6000;ООО "Т2 Мобайл";Орловская обл.;7743895280
901;2290000;2299999;10000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;2300000;2309999;10000;ООО "Т2 Мобайл";Свердловская обл.;7743895280
901;2310000;2319999;10000;ООО "Т2 Мобайл";Новосибирская обл.;7743895280
901;2320000;2329999;10000;ООО "Т2 Мобайл";Свердловская обл.;7743895280
901;2330000;2339999;10000;ОАО "МТТ";Ростовская обл.;7705017253
901;2340000;2349999;10000;ООО "Лайкамобайл";г. Москва * Московская область;9729056760
901;2350000;2399999;50000;ООО "Т2 Мобайл";Республика Хакасия;7743895280
901;2400000;2419999;20000;ООО "Т2 Мобайл";Красноярский край;7743895280
901;2420000;2439999;20000;ООО "Т2 Мобайл";Кировская обл.;7743895280
901;2440000;2449999;10000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;2450000;2459999;10000;ОАО "МТТ";Челябинская обл.;7705017253
901;2460000;2469999;10000;ОАО "МТТ";Краснодарский край;7705017253
901;2470000;2479999;10000;ОАО "МТТ";Новосибирская обл.;7705017253
901;2480000;2489999;10000;ОАО "МТТ";Нижегородская обл.;7705017253
901;2490000;2499999;10000;ОАО "МТТ";Свердловская обл.;7705017253
901;2500000;2539999;40000;ООО "Т2 Мобайл";Челябинская обл.;7743895280
901;2540000;2559999;20000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;2560000;2599999;40000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;2600000;2619999;20000;ПАО "Мобильные ТелеСистемы";Ханты - Мансийский - Югра АО;7740000076
901;2620000;2639999;20000;ООО "Т2 Мобайл";Омская обл.;7743895280
901;2640000;2649999;10000;ООО "Т2 Мобайл";Омская обл.;7743895280
901;2650000;2699999;50000;ООО "Т2 Мобайл";Пермский край;7743895280
901;2700000;2799999;100000;ООО "Т2 Мобайл";Ярославская обл.;7743895280
901;2800000;2899999;100000;ООО "Т2 Мобайл";Ивановская обл.;7743895280
901;2900000;2909999;10000;ООО "Т2 Мобайл";Ивановская обл.;7743895280
901;2910000;2913999;4000;ООО "Т2 Мобайл";Магаданская обл.;7743895280
901;2914000;2921999;8000;ООО "Т2 Мобайл";Оренбургская обл.;7743895280
901;2922000;2929999;8000;ООО "Т2 Мобайл";Брянская обл.;7743895280
901;2930000;2937999;8000;ООО "Т2 Мобайл";Рязанская обл.;7743895280
901;2938000;2941999;4000;ООО "Т2 Мобайл";Сахалинская обл.;7743895280
901;2942000;2949999;8000;ООО "Т2 Мобайл";Смоленская обл.;7743895280
901;2950000;2957999;8000;ООО "Т2 Мобайл";Тамбовская обл.;7743895280
901;2958000;2965999;8000;ООО "Т2 Мобайл";Тверская обл.;7743895280
901;2966000;2973999;8000;ООО "Т2 Мобайл";Томская обл.;7743895280
901;2974000;2981999;8000;ООО "Т2 Мобайл";Тюменская обл.;7743895280
901;2982000;2989999;8000;ООО "Т2 Мобайл";Ульяновская обл.;7743895280
901;2990000;2999999;10000;ООО "Т2 Мобайл";Ярославская обл.;7743895280
901;3000000;3299999;300000;ООО "Т2 Мобайл";г. Санкт-Петербург и Ленинградская область;7743895280
901;3300000;3699999;400000;ООО "Т2 Мобайл";г. Москва и Московская область;7743895280
901;3700000;3799999;100000;ООО "Т2 Мобайл";г. Санкт-Петербург и Ленинградская область;7743895280
901;3800000;3899999;100000;ООО "Т2 Мобайл";г. Москва и Московская область;7743895280
901;3900000;3909999;10000;ООО "Т2 Мобайл";Калининградская обл.;7743895280
901;3910000;3999999;90000;ООО "Т2 Мобайл";г. Санкт-Петербург и Ленинградская область;7743895280
901;4000000;4099999;100000;ООО "Т2 Мобайл";г. Москва и Московская область;7743895280
901;4100000;4109999;10000;ООО "Т2 Мобайл";Удмуртская Республика;7743895280
901;4110000;4119999;10000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;4120000;4129999;10000;ООО "Т2 Мобайл";Удмуртская Республика;7743895280
901;4130000;4149999;20000;ООО "Т2 Мобайл";Свердловская обл.;7743895280
901;4150000;4169999;20000;ПАО "Мобильные ТелеСистемы";Республика Башкортостан;7740000076
901;4170000;4179999;10000;ООО "Интернод";г. Москва * Московская область;7733808377
901;4180000;4189999;10000;ПАО "Мобильные ТелеСистемы";Республика Башкортостан;7740000076
901;4190000;4199999;10000;ООО "Т2 Мобайл";Кировская обл.;7743895280
901;4200000;4299999;100000;ООО "Т2 Мобайл";г. Москва и Московская область;7743895280
901;4300000;4399999;100000;ООО "Т2 Мобайл";Свердловская обл.;7743895280
901;4400000;4429999;30000;ПАО "Мобильные ТелеСистемы";Республика Башкортостан;7740000076
901;4430000;4439999;10000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;4440000;4449999;10000;ООО "Т2 Мобайл";Владимирская обл.;7743895280
901;4450000;4459999;10000;ООО "Т2 Мобайл";Камчатский край;7743895280
901;4460000;4469999;10000;ООО "Т2 Мобайл";Ростовская обл.;7743895280
901;4470000;4489999;20000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;4490000;4499999;10000;ООО "Т2 Мобайл";Кировская обл.;7743895280
901;4500000;4529999;30000;ООО "Т2 Мобайл";Новосибирская обл.;7743895280
901;4530000;4549999;20000;ООО "Т2 Мобайл";Свердловская обл.;7743895280
901;4550000;4559999;10000;ООО "Т2 Мобайл";Удмуртская Республика;7743895280
901;4560000;4569999;10000;ООО "Т2 Мобайл";Ростовская обл.;7743895280
901;4570000;4579999;10000;ООО "Т2 Мобайл";Удмуртская Республика;7743895280
901;4580000;4599999;20000;ООО "Т2 Мобайл";Новосибирская обл.;7743895280
